opex_assumption_usd_gpu_hour,benchmark_id,compute_price_label,compute_price_usd_gpu_hour,cheapest_zone,cheapest_shutdown_usd_gpu_hour,dearest_zone,dearest_shutdown_usd_gpu_hour,shutdown_dispersion_ratio,power_cost_dispersion_ratio,min_headroom_pct,max_headroom_pct,zones_uneconomic,zones_total,max_power_share_of_revenue_pct,price_fall_to_first_curtailment_pct
0.0,a100_on_demand,NVIDIA A100 (on demand),4.2853,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9667859610644755,0.9798106216063467,0,7,0.03321403893552457,0.9667859610644755
0.0,a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8012,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9491888758209326,0.9691141142259307,0,7,0.050811124179067337,0.9491888758209327
0.0,a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.5902,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9104942013266235,0.9455932944093053,0,7,0.08950579867337657,0.9104942013266234
0.0,a100_spot,NVIDIA A100 (spot),0.8636,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.835187446676235,0.899817573841683,0,7,0.164812553323765,0.835187446676235
0.0,h100_on_demand,NVIDIA H100 (on demand),14.1335,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9899294498142426,0.9938785479017709,0,7,0.010070550185757487,0.9899294498142425
0.0,h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9842646957513871,0.9904351887997964,0,7,0.015735304248612934,0.9842646957513871
0.0,h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9770602261144308,0.9860559031637297,0,7,0.022939773885569326,0.9770602261144307
0.0,h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9748236245356063,0.984696369754427,0,7,0.025176375464393715,0.9748236245356063
0.0,h100_spot,NVIDIA H100 (spot),2.6119,France,0.08651754323032258,Austria,0.14233212105040344,1.6451243960024864,1.6451243960024864,0.9455062900377489,0.9668756295301035,0,7,0.05449370996225102,0.945506290037749
0.05,a100_on_demand,NVIDIA A100 (on demand),4.2853,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.955118166511002,0.9681428270528732,0,7,0.03321403893552457,0.9551181665110019
0.05,a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8012,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9313393827465359,0.9512646211515342,0,7,0.050811124179067337,0.9313393827465359
0.05,a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.5902,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.8790516154883641,0.9141507085710461,0,7,0.08950579867337657,0.8790516154883641
0.05,a100_spot,NVIDIA A100 (spot),0.8636,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.7772902720583564,0.8419203992238043,0,7,0.164812553323765,0.7772902720583564
0.05,h100_on_demand,NVIDIA H100 (on demand),14.1335,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9863917556832771,0.9903408537708054,0,7,0.010070550185757487,0.9863917556832771
0.05,h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9787370242277397,0.9849075172761489,0,7,0.015735304248612934,0.9787370242277397
0.05,h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9690016889001059,0.9779973659494049,0,7,0.022939773885569326,0.9690016889001059
0.05,h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9659793892081928,0.9758521344270134,0,7,0.025176375464393715,0.9659793892081927
0.05,h100_spot,NVIDIA H100 (spot),2.6119,France,0.13651754323032259,Austria,0.19233212105040343,1.408845460439575,1.6451243960024864,0.9263631375433962,0.9477324770357508,0,7,0.05449370996225102,0.9263631375433962
0.2,a100_on_demand,NVIDIA A100 (on demand),4.2853,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.9201147828505815,0.9331394433924527,0,7,0.03321403893552457,0.9201147828505815
0.2,a100_reserved_1yr,NVIDIA A100 (reserved 1yr),2.8012,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.877790903523346,0.8977161419283441,0,7,0.050811124179067337,0.8777909035233459
0.2,a100_reserved_3yr,NVIDIA A100 (reserved 3yr),1.5902,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.784723857973586,0.819822951056268,0,7,0.08950579867337657,0.784723857973586
0.2,a100_spot,NVIDIA A100 (spot),0.8636,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.6035987482047205,0.6682288753701685,0,7,0.164812553323765,0.6035987482047205
0.2,h100_on_demand,NVIDIA H100 (on demand),14.1335,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.9757786732903807,0.979727771377909,0,7,0.010070550185757487,0.9757786732903808
0.2,h100_reserved_1yr,NVIDIA H100 (reserved 1yr),9.0454,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.9621540096567974,0.9683245027052068,0,7,0.015735304248612934,0.9621540096567975
0.2,h100_reserved_3yr,NVIDIA H100 (reserved 3yr),6.2046,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.9448260772571313,0.9538217543064302,0,7,0.022939773885569326,0.9448260772571313
0.2,h100_reserved_5yr,NVIDIA H100 (reserved 5yr),5.6534,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.9394466832259519,0.9493194284447726,0,7,0.025176375464393715,0.9394466832259519
0.2,h100_spot,NVIDIA H100 (spot),2.6119,France,0.2865175432303226,Austria,0.34233212105040345,1.1948033519721104,1.6451243960024864,0.8689336800603379,0.8903030195526925,0,7,0.05449370996225102,0.8689336800603379
