hub_code,hub_name,bzn,mean_load_mw,peak_load_mw,mean_generation_mw,firm_generation_mw,variable_generation_mw,firm_share_of_generation,nuclear_mw,nuclear_share_of_load,hydro_reservoir_mw,wind_solar_mw,net_import_mw,net_import_share_of_load,is_net_exporter,generation_source_url,installed_year,installed_total_gw,installed_firm_gw,installed_firm_share,installed_nuclear_gw,installed_source_url,capacity_headroom_gw,firm_headroom_gw,as_of_date,window_start,window_end
fr,France,FR,50460.135604578354,90191.7,63348.80290412202,48692.09291444605,14656.70998967597,0.7686347757532404,42967.03581436511,0.8515045649315818,1648.3896760237888,10113.837987316228,-11782.169511837279,-0.23349460659729693,True,https://api.energy-charts.info/public_power?country=fr&start=2026-01-01&end=2026-08-01,2025,151.85000000000002,98.16000000000001,0.6464273954560421,62.99,https://api.energy-charts.info/installed_power?country=fr&time_step=yearly,61.658300000000025,7.9683000000000135,2026-08-04,2026-01-01,2026-08-01
de,Germany,DE-LU,54012.710702406526,78372.6,52101.835399139,24315.880013695958,27785.95538544305,0.4666991062295242,0.0,0.0,133.09281940911714,26120.687409508784,266.2017609078423,0.004928502151549705,False,https://api.energy-charts.info/public_power?country=de&start=2026-01-01&end=2026-08-01,2030,360.0,0.0,0.0,0.0,https://api.energy-charts.info/installed_power?country=de&time_step=yearly,281.62739999999997,-78.3726,2026-08-04,2026-01-01,2026-08-01
nl,Netherlands,NL,13073.437331246354,20718.0,13204.320979260438,10665.100151633744,2539.2208276266933,0.807697735338685,315.9407943650939,0.024166620174938622,0.0,2539.2208276266933,-1681.7071365681832,-0.12863542264808928,True,https://api.energy-charts.info/public_power?country=nl&start=2026-01-01&end=2026-08-01,2025,65.31,24.11,0.36916245597917624,0.49,https://api.energy-charts.info/installed_power?country=nl&time_step=yearly,44.592,3.3919999999999995,2026-08-04,2026-01-01,2026-08-01
be,Belgium,BE,9553.748248874977,13515.7,7198.716975444345,4213.760998140491,2984.9559773038536,0.5853488909918416,1258.7562241236544,0.13175522227853156,0.0,2963.907630600664,2920.2348855409996,0.30566378864807103,False,https://api.energy-charts.info/public_power?country=be&start=2026-01-01&end=2026-08-01,2025,31.71,14.180000000000001,0.4471775465152949,2.06,https://api.energy-charts.info/installed_power?country=be&time_step=yearly,18.1943,0.6643000000000008,2026-08-04,2026-01-01,2026-08-01
at,Austria,AT,6803.771727646221,11123.6,6368.915045979312,2019.9540207396324,4348.96102523968,0.3171582610471193,0.0,0.0,362.550811974173,1904.9970651535903,890.27096458619,0.1308496228597283,False,https://api.energy-charts.info/public_power?country=at&start=2026-01-01&end=2026-08-01,2025,26.43,12.52,0.4737041241013999,0.0,https://api.energy-charts.info/installed_power?country=at&time_step=yearly,15.3064,1.3963999999999999,2026-08-04,2026-01-01,2026-08-01
no,Norway,NO2,16337.45042852233,25389.3,17052.387026841825,12528.202300649884,4524.184726191942,0.7346890661658974,0.0,0.0,11892.727725871917,1652.645340703407,-512.8809724124452,-0.031392962730405274,True,https://api.energy-charts.info/public_power?country=no&start=2026-01-01&end=2026-08-01,2025,33.7,28.419999999999998,0.8433234421364983,0.0,https://api.energy-charts.info/installed_power?country=no&time_step=yearly,8.310700000000004,3.0306999999999995,2026-08-04,2026-01-01,2026-08-01
se,Sweden,SE4,15248.016731898239,24982.0,17931.922249261475,13057.782378354319,4874.139870907157,0.7281864262428476,4616.997339072587,0.302793302253795,7564.0811301369695,4874.139870907157,-3281.372158090375,-0.21519993162296813,True,https://api.energy-charts.info/public_power?country=se&start=2026-01-01&end=2026-08-01,2025,53.0,29.999999999999996,0.5660377358490566,6.9,https://api.energy-charts.info/installed_power?country=se&time_step=yearly,28.018,5.017999999999997,2026-08-04,2026-01-01,2026-08-01
es,Spain,ES,27865.45379836619,41388.0,30678.816126446283,15867.76373687528,14811.052389571003,0.5172221663141908,5942.763390891748,0.21326634168219374,2694.669666878638,13727.833879567577,-1335.0355654470784,-0.04791006007321346,True,https://api.energy-charts.info/public_power?country=es&start=2026-01-01&end=2026-08-01,2025,132.82,58.15,0.43781057069718415,7.12,https://api.energy-charts.info/installed_power?country=es&time_step=yearly,91.43199999999999,16.762,2026-08-04,2026-01-01,2026-08-01
pt,Portugal,PT,6248.541733515942,10193.4,5788.67822343964,2526.0145568381954,3262.663666601444,0.43637156175131714,0.0,0.0,406.77566034044276,2333.0018587360564,1192.1107219722164,0.19078222932848002,False,https://api.energy-charts.info/public_power?country=pt&start=2026-01-01&end=2026-08-01,2025,19.25,10.59,0.5501298701298701,0.0,https://api.energy-charts.info/installed_power?country=pt&time_step=yearly,9.0566,0.3965999999999994,2026-08-04,2026-01-01,2026-08-01
fi,Finland,FI,10288.24429326544,15553.0,9246.363712517676,5441.571321370282,3804.7923911473936,0.5885093308630628,3846.8018647220083,0.3739026557952243,0.0,2451.711180301655,889.7891557425268,0.08648600581198991,False,https://api.energy-charts.info/public_power?country=fi&start=2026-01-01&end=2026-08-01,2025,22.810000000000002,10.760000000000002,0.471722928540114,4.37,https://api.energy-charts.info/installed_power?country=fi&time_step=yearly,7.2570000000000014,-4.792999999999999,2026-08-04,2026-01-01,2026-08-01
