bzn,zone_name,country,role,month,mean_eur_mwh,p10_eur_mwh,p90_eur_mwh,volatility_eur_mwh,negative_hours,hour_count,source_url,license,mean_usd_kwh,p10_usd_kwh,p90_usd_kwh,volatility_usd_kwh,fx_usd_per_eur,fx_source_url,as_of_date,confidence
BE,Belgium,BE,constrained,2026-01,108.56935147849462,81.19425,145.35675,28.745141005061367,0,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1263057835827789,0.09445854865125,0.16910295546374998,0.03344109096535322,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-02,85.07286830357143,50.91075,117.5325,26.821319153687334,2,672,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.09897079743398438,0.05922778467375,0.1367331968625,0.031202983957229462,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-03,92.75162298387097,14.262999999999995,154.42175,50.23215778263954,16,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.10790399187263106,0.016593074994999995,0.17964885918875,0.05843833423880045,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-04,78.81237847222222,-3.0347499999999985,141.1125,65.86377310420137,103,720,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.0916875626813368,-0.003530521933749998,0.1641653435625,0.07662360839736923,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-05,91.86863575268818,0.28674999999999984,146.229,64.9686348028525,58,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.10687675543242608,0.0003335949137499998,0.17011770058500003,0.0755822358274205,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-06,112.17496527777779,7.550500000000012,169.704,88.09597539179504,41,720,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.13050042848038193,0.008783987432500015,0.19742769396,0.10248777441167563,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-07,109.2987063172043,2.798749999999999,165.5805,57.54208930516052,39,744,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12715428947471438,0.003255967793749999,0.1926305583825,0.06694245272449807,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
BE,Belgium,BE,constrained,2026-08,123.70574468085107,5.984750000000006,177.78325,55.922730548919134,5,94,https://api.energy-charts.info/price?bzn=BE&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.1439149336606383,0.006962448683750007,0.20682681063625,0.0650585474250433,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2025-12,58.2775,58.2775,58.2775,,0,1,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.0677980037875,0.0677980037875,0.0677980037875,,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
DE-LU,Germany/Luxembourg,DE,constrained,2026-01,110.1412063172043,80.86274999999999,153.0695,37.913121767867764,4,744,https://api.energy-charts.info/price?bzn=DE-LU&start=2026-01-01&end=2026-12-31,CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,0.12813442448721438,0.09407289315374999,0.1780756988675,0.04410679890547548,1.163365,https://data-api.ecb.europa.eu/service/data/EXR/M.USD.EUR.SP00.A?format=csvdata&startPeriod=2026-01&endPeriod=2026-12,2026-08-03,high
