iso2,electricity_use_kwh_per_capita,gdp_usd,gdp_per_capita_usd,population,electricity_use_kwh_per_capita_year,gdp_usd_year,gdp_per_capita_usd_year,population_year,country,source_url,as_of_date,electricity_consumption_kwh_derived,one_gw_cluster_share_of_consumption
BE,7098.80837636114,725466462859.646,60750.2735864647,11941781.0,2024,2025,2025,2025,Belgium,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,84772414991.47032,0.10333550130524674
IE,6298.24363068244,721701359046.313,131592.462547877,5484367.0,2024,2025,2025,2025,Ireland,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,34541879526.07496,0.25360519231118434
SE,12226.2590199976,668998664082.081,63133.2126736715,10596620.0,2024,2025,2025,2025,Sweden,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,129557020856.48697,0.06761501570573807
SG,9750.49546711802,603869516998.738,98813.9788172877,6111175.0,2023,2025,2025,2025,Singapore,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,59586984136.26497,0.14701197127156862
AT,7896.83396633378,579470021095.418,62930.0351324599,9208163.0,2024,2025,2025,2025,Austria,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,72715334345.93796,0.12046977544413029
AE,15284.7010578561,552324919095.872,50273.5126243239,11513149.0,2023,2024,2024,2025,United Arab Emirates,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,175975040699.5549,0.049779786753714084
NO,23673.0788246604,530755719438.879,94594.1929573987,5610870.0,2024,2025,2025,2025,Norway,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,132826567784.92229,0.0659506614232818
MY,5083.71249369916,472193128644.597,13124.5554178269,35977838.0,2023,2025,2025,2025,Malaysia,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,182900984536.8844,0.047894766789696695
DK,6165.47587816748,462526660468.393,76970.1535217919,6009169.0,2024,2025,2025,2025,Denmark,https://api.worldbank.org/v2/country/IT;PL;CH;IE;DK;US;GB;SG;AE;SA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,37049386517.331795,0.23644116201227922
ZA,3247.14853342661,427184325997.307,6597.71450918774,64747319.0,2023,2025,2025,2025,South Africa,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,210244161934.15488,0.04166584184508054
PT,5293.84653922824,346639825141.821,32081.8106150292,10804871.0,2024,2025,2025,2025,Portugal,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,57199328950.15757,0.15314864983177165
FI,14819.2738283578,317039368819.607,56148.580949046,5646436.0,2024,2025,2025,2025,Finland,https://api.worldbank.org/v2/country/FR;DE;NL;BE;AT;NO;SE;ES;PT;FI/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,83676081238.2973,0.10468941506776346
QA,19963.2383947181,215559615384.615,72524.9066385222,2972215.0,2023,2025,2025,2025,Qatar,https://api.worldbank.org/v2/country/CN;IN;JP;KR;CA;AU;BR;ZA;MY;QA/indicator/EG.USE.ELEC.KH.PC?format=json&date=2015:2025,2026-08-04,59335036605.357056,0.1476362112703088
